20.0, -3.479716489343601, 196.467, 228.108, 0, 0, 0, 0, 0, 2
20.0, -5.347689336745971, 16.417, 115.961, 0, 0, 2, 0, 0, 0
20.0, -1.2600000000000011, 3.221, 4.193, 0, 0, 2, 0, 0, 0
20.0, -3.2585792293259632, 286.867, 290.329, 0, 0, 2, 0, 0, 0
20.0, -4.986262326785687, 17.804, 19.973, 0, 0, 2, 0, 0, 0
20.0, -2.8550771022766037, 27.604, 47.827, 0, 0, 2, 0, 0, 0
20.0, -4.542782335073929, 28.543, 108.561, 0, 0, 0, 0, 0, 2
20.0, -2.610000000000002, 24.478, 49.374, 0, 0, 2, 0, 0, 0
20.0, -6.12394421419392, 14.646, 131.664, 0, 0, 0, 0, 0, 2
20.0, -4.730097087378642, 29.527, 49.286, 0, 0, 2, 0, 0, 0
20.0, -7.777895534481408, 29.808, 93.749, 0, 0, 0, 0, 0, 2
20.0, -8.7, 12.552, 14.9, 0, 0, 2, 0, 0, 0
20.0, -6.009306212217082, 16.72, 25.632, 0, 0, 2, 0, 0, 0
20.0, -6.277708146821847, 50.356, 66.534, 0, 0, 2, 0, 0, 0
20.0, -0.6400000000000001, 63.236, 67.397, 0, 0, 0, 0, 0, 2
20.0, -3.901773478462277, 326.012, 478.047, 0, 0, 2, 0, 0, 0
20.0, -5.191737288135594, 39.214, 45.017, 0, 0, 2, 0, 0, 0
20.0, -0.2348999999999999, 31.145, 37.623, 0, 0, 2, 0, 0, 0
20.0, -2.9915965005955565, 7.87, 12.556, 0, 0, 2, 0, 0, 0
20.0, -5.92682360057312, 35.08, 65.404, 0, 0, 0, 0, 0, 2
