10,-268.0125807,0.17,33.537,1,1,0,0
20,-252.2378868,0.003,78.828,1,1,0,1
30,-239.5559199,0.01,100.657,1,1,1,1
40,-248.2334167,0.011,31.212,3,1,1,1
