10, -24.835123032432584, 197.798, 297.006, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10, 10, 8, 8, 5, 5, 6, 5, 3, 2, 3, 2, 0.6, 0.7, 0.6, 0.9, 0.6, 0.7
15, -14.20060707200766, 196.065, 328.527, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 10, 10, 8, 8, 5, 5, 6, 5, 3, 2, 3, 2, 0.6, 0.7, 0.6, 0.9, 0.6, 0.7
20, -6.37880794701987, 194.311, 292.264, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10, 10, 8, 8, 5, 5, 6, 5, 3, 2, 3, 2, 0.6, 0.7, 0.6, 0.9, 0.6, 0.7
25, -5.496898376122879, 195.478, 361.804, 2.0, 0.0, 0.0, 0.0, 1.0, 0.0, 10, 10, 8, 8, 5, 5, 6, 5, 3, 2, 3, 2, 0.6, 0.7, 0.6, 0.9, 0.6, 0.7
