Budget: 15.0, verticies: 10, edges: 19, GV: -3.7281436588103265, runtime(S): 10.058, resources: [0.0, 0.0, 0.0, 3.0, 0.0, 0.0]
Budget: 18.0, verticies: 12, edges: 29, GV: -0.7944977197602732, runtime(S): 494.413, resources: [0.0, 1.0, 0.0, 0.0, 0.0, 1.0]
Budget: 18.0, verticies: 9, edges: 16, GV: -0.0023489999999999345, runtime(S): 4.462, resources: [2.0, 1.0, 0.0, 0.0, 0.0, 0.0]
Budget: 18.0, verticies: 10, edges: 19, GV: -1.1600000000000004, runtime(S): 16.988, resources: [0.0, 1.0, 1.0, 0.0, 0.0, 0.0]
Budget: 18.0, verticies: 9, edges: 20, GV: -0.0023489999999999345, runtime(S): 17.841, resources: [2.0, 1.0, 0.0, 0.0, 0.0, 0.0]
Budget: 18.0, verticies: 10, edges: 19, GV: -0.39096966040005987, runtime(S): 31.683, resources: [0.0, 1.0, 0.0, 2.0, 0.0, 0.0]
Budget: 20.0, verticies: 12, edges: 29, GV: -0.7242584226733031, runtime(S): 50.548, resources: [1.0, 0.0, 0.0, 1.0, 0.0, 1.0]
Budget: 20.0, verticies: 9, edges: 21, GV: -0.002016000000000462, runtime(S): 8.563, resources: [1.0, 1.0, 0.0, 1.0, 0.0, 0.0]
Budget: 20.0, verticies: 10, edges: 23, GV: -1.5131244979919682, runtime(S): 9.883, resources: [1.0, 0.0, 0.0, 3.0, 0.0, 0.0]
Budget: 20.0, verticies: 9, edges: 18, GV: -2.865506284621658, runtime(S): 10.371, resources: [1.0, 0.0, 1.0, 1.0, 0.0, 0.0]
Budget: 20.0, verticies: 12, edges: 32, GV: -1.5882133929494389, runtime(S): 95.484, resources: [1.0, 0.0, 1.0, 1.0, 0.0, 0.0]
Budget: 20.0, verticies: 12, edges: 26, GV: -0.29338903363936675, runtime(S): 21.856, resources: [1.0, 0.0, 0.0, 3.0, 0.0, 0.0]
Budget: 20.0, verticies: 13, edges: 37, GV: -0.012970127433687886, runtime(S): 11.309, resources: [1.0, 0.0, 0.0, 3.0, 0.0, 0.0]
Budget: 20.0, verticies: 13, edges: 28, GV: -1.321205760005384E-4, runtime(S): 20.556, resources: [1.0, 0.0, 0.0, 1.0, 0.0, 1.0]
Budget: 10.0, verticies: 11, edges: 24, GV: -3.367058537462073, runtime(S): 9.669, resources: [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
Budget: 10.0, verticies: 9, edges: 20, GV: -0.742400000000002, runtime(S): 3.133, resources: [0.0, 0.0, 0.0, 2.0, 0.0, 0.0]
Budget: 10.0, verticies: 11, edges: 26, GV: -4.781384204700827, runtime(S): 33.882, resources: [0.0, 0.0, 0.0, 2.0, 0.0, 0.0]
Budget: 10.0, verticies: 12, edges: 27, GV: -3.0455048913944625, runtime(S): 13.477, resources: [1.0, 0.0, 0.0, 1.0, 0.0, 0.0]
Budget: 10.0, verticies: 9, edges: 21, GV: -5.212839506172839, runtime(S): 5.392, resources: [0.0, 0.0, 0.0, 2.0, 0.0, 0.0]
Budget: 15.0, verticies: 12, edges: 29, GV: -1.6362875157629269, runtime(S): 32.015, resources: [1.0, 0.0, 0.0, 2.0, 0.0, 0.0]
Budget: 15.0, verticies: 9, edges: 18, GV: -0.9978101614808982, runtime(S): 31.294, resources: [1.0, 0.0, 0.0, 2.0, 0.0, 0.0]
Budget: 15.0, verticies: 12, edges: 26, GV: -3.1934117647058824, runtime(S): 22.117, resources: [1.0, 0.0, 0.0, 2.0, 0.0, 0.0]
Budget: 15.0, verticies: 9, edges: 18, GV: -1.797312252964427, runtime(S): 18.024, resources: [0.0, 0.0, 0.0, 3.0, 0.0, 0.0]
Budget: 15.0, verticies: 12, edges: 27, GV: -0.032973484949833126, runtime(S): 73.542, resources: [1.0, 0.0, 0.0, 2.0, 0.0, 0.0]
Budget: 15.0, verticies: 10, edges: 18, GV: -0.45013337779259754, runtime(S): 28.876, resources: [1.0, 0.0, 0.0, 0.0, 2.0, 0.0]
Budget: 15.0, verticies: 10, edges: 19, GV: -0.36599243379571256, runtime(S): 11.548, resources: [1.0, 1.0, 1.0]
Budget: 15.0, verticies: 10, edges: 19, GV: -0.1080000000000001, runtime(S): 7.698, resources: [0.0, 0.0, 3.0]
Budget: 15.0, verticies: 9, edges: 16, GV: -0.22492220562779108, runtime(S): 14.432, resources: [0.0, 1.0, 2.0]
Budget: 15.0, verticies: 9, edges: 15, GV: -0.028999999999999915, runtime(S): 0.685, resources: [3.0, 0.0, 0.0]
Budget: 15.0, verticies: 11, edges: 22, GV: -1.8838438942509452, runtime(S): 13.388, resources: [1.0, 0.0, 2.0]
Budget: 15.0, verticies: 9, edges: 19, GV: -0.028000000000000025, runtime(S): 3.749, resources: [2.0, 1.0, 0.0]
Budget: 15.0, verticies: 10, edges: 20, GV: -2.8042112570139412, runtime(S): 14.263, resources: [1.0, 0.0, 2.0]
Budget: 15.0, verticies: 11, edges: 26, GV: -2.962958554217631, runtime(S): 19.559, resources: [2.0, 0.0, 1.0]
Budget: 15.0, verticies: 9, edges: 15, GV: -1.3218604651162793, runtime(S): 3.767, resources: [1.0, 2.0, 0.0]
Budget: 15.0, verticies: 11, edges: 20, GV: -2.306329051505216, runtime(S): 14.415, resources: [1.0, 0.0, 2.0]
Budget: 15.0, verticies: 9, edges: 19, GV: -2.593191059477209, runtime(S): 14.642, resources: [0.0, 1.0, 2.0]
Budget: 15.0, verticies: 6, edges: 10, GV: -3.04207492795389, runtime(S): 6.59, resources: [3.0, 0.0, 0.0]
Budget: 15.0, verticies: 8, edges: 18, GV: -3.7454760496747492, runtime(S): 18.888, resources: [1.0, 0.0, 2.0]
Budget: 15.0, verticies: 9, edges: 15, GV: -0.0018559999999986365, runtime(S): 5.687, resources: [0.0, 3.0, 0.0]
Budget: 15.0, verticies: 7, edges: 11, GV: -0.008632558139534563, runtime(S): 2.695, resources: [0.0, 3.0, 0.0]
Budget: 15.0, verticies: 8, edges: 13, GV: -0.011599999999998722, runtime(S): 3.314, resources: [2.0, 1.0, 0.0]
Budget: 15.0, verticies: 8, edges: 13, GV: -5.708069999997845E-4, runtime(S): 3.028, resources: [0.0, 0.0, 3.0]
Budget: 15.0, verticies: 11, edges: 23, GV: -0.6821921037124337, runtime(S): 13.019, resources: [2.0, 1.0, 0.0]
Budget: 15.0, verticies: 10, edges: 21, GV: -1.126449724119791, runtime(S): 20.11, resources: [0.0, 1.0, 2.0]
Budget: 15.0, verticies: 7, edges: 13, GV: -4.854347826086958, runtime(S): 14.787, resources: [2.0, 0.0, 1.0]
Budget: 15.0, verticies: 9, edges: 17, GV: -1.9506479822990204, runtime(S): 14.244, resources: [2.0, 0.0, 1.0]
Budget: 15.0, verticies: 12, edges: 27, GV: -1.1899098398503, runtime(S): 83.453, resources: [2.0, 1.0, 0.0]
Budget: 15.0, verticies: 10, edges: 20, GV: -1.8011090573012938, runtime(S): 16.055, resources: [3.0, 0.0, 0.0]
Budget: 15.0, verticies: 8, edges: 14, GV: -5.708069999997845E-4, runtime(S): 5.973, resources: [0.0, 0.0, 3.0]
Budget: 15.0, verticies: 7, edges: 13, GV: -2.87946604759141, runtime(S): 12.641, resources: [2.0, 1.0, 0.0]
